2025-10-15 18:32:36,290 - nanochat.checkpoint_manager - [32m[1mINFO[0m - No model tag provided, guessing model tag: d20
2025-10-15 18:32:36,290 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /root/.cache/nanochat/base_checkpoints/d20 with step 21400
2025-10-15 18:32:37,457 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 524,288
Total batch size 524,288 => gradient accumulation steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Map: 100%|█████████████████████████████████████████| 99842/99842 [00:09<00:00, 10498.24 examples/s]
Step 00000 | Validation bpb: 0.6934
step 00071 (9.47%) | loss: 2.060476 | lrm: 0.09 | dt: 541.94ms | tok/sec: 967,426 | mfu: 42.69 | total time: 0.66m
step 00072 (9.60%) | loss: 2.048361 | lrm: 0.10 | dt: 1030.21ms | tok/sec: 508,912 | mfu: 22.46 | total time: 0.68m
step 00073 (9.72%) | loss: 2.029992 | lrm: 0.10 | dt: 467.30ms | tok/sec: 1,121,950 | mfu: 49.51 | total time: 0.69m
step 00074 (9.85%) | loss: 2.030845 | lrm: 0.10 | dt: 478.53ms | tok/sec: 1,095,627 | mfu: 48.35 | total time: 0.70m
step 00075 (9.97%) | loss: 2.015784 | lrm: 0.10 | dt: 691.35ms | tok/sec: 758,350 | mfu: 33.47 | total time: 0.71m
step 00076 (10.09%) | loss: 2.015764 | lrm: 0.10 | dt: 971.91ms | tok/sec: 539,438 | mfu: 23.81 | total time: 0.72m
step 00077 (10.22%) | loss: 2.001765 | lrm: 0.10 | dt: 470.32ms | tok/sec: 1,114,745 | mfu: 49.20 | total time: 0.73m
step 00078 (10.35%) | loss: 1.990111 | lrm: 0.10 | dt: 662.25ms | tok/sec: 791,677 | mfu: 34.94 | total time: 0.74m
step 00079 (10.49%) | loss: 1.982642 | lrm: 0.10 | dt: 471.50ms | tok/sec: 1,111,947 | mfu: 49.07 | total time: 0.75m
step 00080 (10.62%) | loss: 1.979976 | lrm: 0.11 | dt: 766.39ms | tok/sec: 684,098 | mfu: 30.19 | total time: 0.76m
step 00081 (10.74%) | loss: 1.969855 | lrm: 0.11 | dt: 879.17ms | tok/sec: 596,346 | mfu: 26.32 | total time: 0.78m
step 00082 (10.88%) | loss: 1.957594 | lrm: 0.11 | dt: 719.70ms | tok/sec: 728,483 | mfu: 32.15 | total time: 0.79m
step 00083 (11.02%) | loss: 1.954886 | lrm: 0.11 | dt: 469.92ms | tok/sec: 1,115,706 | mfu: 49.24 | total time: 0.80m
step 00084 (11.13%) | loss: 1.947368 | lrm: 0.11 | dt: 478.36ms | tok/sec: 1,096,019 | mfu: 48.37 | total time: 0.81m
step 00085 (11.27%) | loss: 1.933932 | lrm: 0.11 | dt: 716.31ms | tok/sec: 731,933 | mfu: 32.30 | total time: 0.82m
step 00086 (11.39%) | loss: 1.927232 | lrm: 0.11 | dt: 540.00ms | tok/sec: 970,901 | mfu: 42.85 | total time: 0.83m
step 00087 (11.53%) | loss: 1.923506 | lrm: 0.12 | dt: 1174.35ms | tok/sec: 446,449 | mfu: 19.70 | total time: 0.85m
step 00088 (11.66%) | loss: 1.921925 | lrm: 0.12 | dt: 1002.66ms | tok/sec: 522,896 | mfu: 23.08 | total time: 0.86m
step 00089 (11.77%) | loss: 1.916639 | lrm: 0.12 | dt: 884.77ms | tok/sec: 592,571 | mfu: 26.15 | total time: 0.88m
step 00090 (11.91%) | loss: 1.912182 | lrm: 0.12 | dt: 777.83ms | tok/sec: 674,038 | mfu: 29.75 | total time: 0.89m
step 00091 (12.04%) | loss: 1.904539 | lrm: 0.12 | dt: 747.30ms | tok/sec: 701,578 | mfu: 30.96 | total time: 0.90m
step 00092 (12.16%) | loss: 1.897583 | lrm: 0.12 | dt: 889.03ms | tok/sec: 589,731 | mfu: 26.03 | total time: 0.92m
step 00093 (12.28%) | loss: 1.885481 | lrm: 0.12 | dt: 465.04ms | tok/sec: 1,127,396 | mfu: 49.75 | total time: 0.93m
step 00094 (12.42%) | loss: 1.874598 | lrm: 0.12 | dt: 478.16ms | tok/sec: 1,096,480 | mfu: 48.39 | total time: 0.93m
step 00095 (12.55%) | loss: 1.875329 | lrm: 0.13 | dt: 652.16ms | tok/sec: 803,930 | mfu: 35.48 | total time: 0.95m
step 00096 (12.70%) | loss: 1.870311 | lrm: 0.13 | dt: 718.22ms | tok/sec: 729,980 | mfu: 32.22 | total time: 0.96m
step 00097 (12.83%) | loss: 1.864059 | lrm: 0.13 | dt: 776.98ms | tok/sec: 674,777 | mfu: 29.78 | total time: 0.97m
step 00098 (12.96%) | loss: 1.864935 | lrm: 0.13 | dt: 847.23ms | tok/sec: 618,823 | mfu: 27.31 | total time: 0.98m
step 00099 (13.08%) | loss: 1.855640 | lrm: 0.13 | dt: 468.61ms | tok/sec: 1,118,808 | mfu: 49.38 | total time: 0.99m
step 00100 (13.22%) | loss: 1.852476 | lrm: 0.13 | dt: 485.40ms | tok/sec: 1,080,108 | mfu: 47.67 | total time: 1.00m
step 00101 (13.36%) | loss: 1.850570 | lrm: 0.13 | dt: 804.54ms | tok/sec: 651,660 | mfu: 28.76 | total time: 1.01m
step 00102 (13.49%) | loss: 1.845752 | lrm: 0.13 | dt: 786.16ms | tok/sec: 666,895 | mfu: 29.43 | total time: 1.03m
step 00103 (13.62%) | loss: 1.845990 | lrm: 0.14 | dt: 925.76ms | tok/sec: 566,330 | mfu: 24.99 | total time: 1.04m
step 00104 (13.74%) | loss: 1.842818 | lrm: 0.14 | dt: 656.16ms | tok/sec: 799,030 | mfu: 35.26 | total time: 1.05m
step 00105 (13.88%) | loss: 1.841799 | lrm: 0.14 | dt: 538.92ms | tok/sec: 972,854 | mfu: 42.93 | total time: 1.06m
step 00106 (14.01%) | loss: 1.834536 | lrm: 0.14 | dt: 684.94ms | tok/sec: 765,449 | mfu: 33.78 | total time: 1.07m
step 00107 (14.13%) | loss: 1.818526 | lrm: 0.14 | dt: 687.17ms | tok/sec: 762,969 | mfu: 33.67 | total time: 1.08m
step 00108 (14.26%) | loss: 1.819611 | lrm: 0.14 | dt: 471.34ms | tok/sec: 1,112,326 | mfu: 49.09 | total time: 1.09m
step 00109 (14.39%) | loss: 1.814700 | lrm: 0.14 | dt: 663.31ms | tok/sec: 790,411 | mfu: 34.88 | total time: 1.10m
step 00110 (14.52%) | loss: 1.805295 | lrm: 0.15 | dt: 650.19ms | tok/sec: 806,357 | mfu: 35.59 | total time: 1.11m
step 00111 (14.65%) | loss: 1.803334 | lrm: 0.15 | dt: 982.32ms | tok/sec: 533,726 | mfu: 23.55 | total time: 1.13m
step 00112 (14.78%) | loss: 1.794011 | lrm: 0.15 | dt: 680.02ms | tok/sec: 770,994 | mfu: 34.03 | total time: 1.14m
step 00113 (14.92%) | loss: 1.787334 | lrm: 0.15 | dt: 866.54ms | tok/sec: 605,035 | mfu: 26.70 | total time: 1.16m
step 00114 (15.03%) | loss: 1.778310 | lrm: 0.15 | dt: 812.83ms | tok/sec: 645,013 | mfu: 28.47 | total time: 1.17m
step 00115 (15.16%) | loss: 1.763889 | lrm: 0.15 | dt: 899.17ms | tok/sec: 583,077 | mfu: 25.73 | total time: 1.19m
